New Interviewee Case Study Dataset FINAL (2),,,,,,,,,,,,,,,,,,,
Age,Gender,MonthlyIncome,Department,NumCompaniesWorked,Over18,workingfromhome,BusinessTravel,DistanceFromHome,StandardHours,JobSatisfaction,complaintfiled,complaintresolved,complaintyears,PercentSalaryHike,PerformanceRating,TotalWorkingYears,YearsAtCompany,YearsSinceLastPromotion,Left
31,Male,medium,Human Resources,3,Y,0,Travel_Rarely,2,40,1,1,Y,1,12,1,9,2,1,No
41,Female,medium,Research & Development,3,Y,0,Travel_Frequently,22,40,4,0,,,14,3,12,6,3,No
37,Male,low,Research & Development,4,Y,1,Travel_Rarely,19,40,2,0,,,21,5,8,1,0,No
29,Female,medium,Sales,5,Y,1,Travel_Frequently,13,40,2,0,,,11,1,7,5,0,Yes
31,Male,medium,Sales,7,Y,0,Travel_Frequently,2,40,1,0,,,13,2,10,5,0,No
31,Female,high,Research & Development,3,Y,1,Travel_Rarely,8,40,2,0,,,11,1,9,3,1,No
18,Female,low,Sales,1,Y,0,Travel_Rarely,10,40,3,1,Y,,12,2,0,0,0,No
37,Female,high,Research & Development,1,Y,0,Travel_Rarely,10,40,4,1,Y,1,25,5,16,16,6,No
29,Female,medium,Sales,1,Y,0,Travel_Rarely,10,40,2,0,,,14,3,7,7,1,No
51,Female,low,Research & Development,0,Y,0,Travel_Frequently,6,40,3,0,,,14,3,8,7,7,No
38,Male,high,Sales,0,Y,1,Travel_Rarely,14,40,2,0,,,11,1,10,9,7,No
59,Female,medium,Sales,5,Y,0,Travel_Rarely,3,40,4,0,,,17,4,13,6,0,No
36,Female,low,Research & Development,1,Y,0,Travel_Rarely,16,40,1,0,,,16,4,18,17,15,Yes
46,Male,high,Research & Development,2,Y,0,Travel_Frequently,1,40,1,0,,,13,2,21,10,9,No
35,Male,low,Research & Development,1,Y,0,Travel_Rarely,4,40,4,1,Y,,12,1,1,1,0,No
36,Male,medium,Research & Development,6,Y,0,Travel_Rarely,6,40,2,1,Y,1,20,5,7,3,0,No
25,Male,low,Research & Development,7,Y,1,Travel_Rarely,2,40,1,0,,,13,2,6,4,0,No
55,Female,high,Research & Development,4,Y,0,Travel_Rarely,2,40,3,0,,,14,3,23,19,9,No
41,Female,medium,Research & Development,2,Y,0,Non-Travel,2,40,3,0,,,17,4,10,8,0,No
35,Female,high,Sales,1,Y,1,Travel_Frequently,1,40,3,0,,,14,3,10,10,0,No
33,Female,medium,Research & Development,1,Y,0,Travel_Frequently,1,40,2,0,,,13,2,6,6,1,No
20,Female,low,Sales,1,Y,1,Travel_Rarely,2,40,3,0,,,13,2,2,2,0,Yes
35,Male,medium,Sales,0,Y,0,Travel_Rarely,16,40,2,0,,,15,3,12,11,6,No
41,Male,high,Research & Development,4,Y,0,Travel_Frequently,10,40,1,0,,,13,2,21,7,7,No
19,Female,low,Research & Development,1,Y,0,Non-Travel,10,40,2,0,,,25,5,1,1,0,Yes
38,Female,medium,Research & Development,3,Y,1,Travel_Rarely,2,40,3,0,,,19,5,10,5,0,No
34,Male,medium,Sales,1,Y,0,Travel_Rarely,8,40,3,0,,,21,5,10,10,4,No
56,Female,high,Sales,9,Y,0,Travel_Frequently,6,40,1,1,Y,0,11,1,36,7,7,No
22,Male,low,Research & Development,1,Y,0,Travel_Rarely,7,40,2,1,Y,,23,5,1,1,0,Yes
30,Male,low,Research & Development,1,Y,0,Travel_Rarely,7,40,2,0,,,12,1,6,6,1,No
53,Male,high,Sales,6,Y,0,Travel_Rarely,24,40,1,0,,,13,2,15,2,2,Yes
60,Female,high,Research & Development,5,Y,1,Travel_Rarely,7,40,1,0,,,11,1,33,29,11,No
44,Male,low,Research & Development,4,Y,1,Travel_Rarely,3,40,1,0,,,12,1,10,3,1,Yes
45,Male,high,Research & Development,4,Y,1,Travel_Rarely,29,40,4,1,N,0,18,4,10,3,1,No
31,Female,medium,Research & Development,0,Y,1,Travel_Rarely,12,40,4,0,,,11,1,10,9,8,No
32,Female,low,Research & Development,3,Y,1,Travel_Frequently,5,40,3,0,,,14,3,8,4,0,Yes
46,Female,high,Sales,1,Y,0,Travel_Rarely,1,40,1,1,Y,2,25,5,24,24,15,No
31,Female,medium,Research & Development,1,Y,0,Travel_Rarely,24,40,1,0,,,19,5,10,10,1,No
47,Female,medium,Sales,4,Y,0,Travel_Frequently,27,40,3,1,Y,1,12,1,8,5,1,Yes
27,Male,low,Research & Development,0,Y,1,Travel_Rarely,3,40,4,0,,,13,2,5,4,1,No
27,Female,low,Research & Development,1,Y,1,Travel_Rarely,17,40,3,0,,,13,2,8,8,7,Yes
34,Male,medium,Research & Development,1,Y,1,Travel_Rarely,5,40,4,0,,,14,2,15,15,4,No
49,Female,high,Research & Development,3,Y,1,Travel_Rarely,22,40,2,0,,,16,4,27,4,1,No
40,Male,low,Research & Development,3,Y,1,Travel_Rarely,9,40,1,0,,,14,3,15,5,1,Yes
36,Male,high,Research & Development,2,Y,1,Travel_Rarely,9,40,2,0,,,11,1,13,3,0,No
29,Male,medium,Research & Development,0,Y,1,Travel_Rarely,1,40,1,0,,,12,2,6,5,0,No
53,Male,high,Research & Development,4,Y,1,Travel_Rarely,2,40,2,0,,,12,1,35,9,8,No
30,Male,low,Sales,1,Y,1,Travel_Frequently,12,40,1,1,N,,18,4,1,1,0,Yes
51,Male,high,Human Resources,1,Y,0,Travel_Rarely,5,40,2,0,,,11,1,33,33,0,No
40,Female,low,Research & Development,6,Y,1,Travel_Rarely,2,40,3,0,,,22,5,20,1,0,No
38,Female,low,Research & Development,7,Y,1,Travel_Rarely,4,40,3,0,,,19,4,7,0,0,No
21,Male,low,Sales,1,Y,1,Travel_Rarely,5,40,1,0,,,11,1,2,2,1,No
54,Female,high,Human Resources,2,Y,0,Non-Travel,26,40,4,0,,,12,2,23,5,4,No
48,Male,low,Research & Development,5,Y,0,Travel_Rarely,2,40,2,0,,,11,1,7,1,0,No
38,Female,low,Research & Development,3,Y,0,Travel_Rarely,1,40,1,0,,,17,4,8,0,0,No
50,Male,high,Research & Development,5,Y,1,Travel_Rarely,2,40,3,0,,,16,4,30,4,0,No
27,Female,medium,Research & Development,0,Y,0,Travel_Rarely,2,40,4,0,,,18,4,4,3,2,No
42,Male,low,Human Resources,0,Y,1,Travel_Rarely,2,40,3,0,,,11,1,4,3,1,No
29,Female,low,Research & Development,0,Y,0,Travel_Frequently,10,40,2,0,,,14,3,8,7,1,No
40,Female,medium,Research & Development,1,Y,1,Travel_Frequently,11,40,3,0,,,11,1,10,10,9,No
28,Male,low,Research & Development,0,Y,1,Travel_Rarely,2,40,2,0,,,17,4,6,5,0,No
38,Female,medium,Sales,1,Y,0,Travel_Rarely,7,40,1,1,Y,2,24,5,8,8,7,No
30,Female,high,Research & Development,9,Y,0,Travel_Rarely,10,40,3,0,,,14,3,9,7,0,No
41,Male,medium,Human Resources,6,Y,0,Non-Travel,4,40,2,1,Y,0,19,5,10,3,1,No
38,Male,high,Sales,0,Y,0,Travel_Rarely,10,40,3,0,,,14,3,9,8,2,No
38,Male,low,Human Resources,1,Y,0,Travel_Rarely,1,40,3,1,N,2,13,2,7,7,5,No
37,Female,medium,Research & Development,1,Y,1,Travel_Rarely,10,40,2,1,Y,1,11,1,8,8,7,No
44,Female,low,Research & Development,1,Y,1,Travel_Rarely,2,40,4,1,Y,1,13,2,10,10,7,No
32,Female,medium,Research & Development,7,Y,0,Travel_Rarely,2,40,4,1,Y,2,16,4,10,7,0,No
36,Male,high,Sales,4,Y,0,Travel_Frequently,3,40,4,0,,,11,1,16,13,1,No
29,Male,medium,Sales,1,Y,1,Travel_Frequently,2,40,4,1,N,2,18,4,10,10,0,No
53,Female,high,Research & Development,3,Y,1,Travel_Rarely,7,40,3,0,,,18,4,26,7,4,No
26,Female,medium,Sales,7,Y,1,Travel_Rarely,23,40,4,0,,,19,4,5,2,0,No
48,Male,high,Research & Development,2,Y,1,Travel_Frequently,4,40,4,0,,,25,5,23,2,2,No
35,Male,medium,Sales,1,Y,1,Travel_Rarely,27,40,4,0,,,18,4,10,10,7,Yes
48,Male,medium,Research & Development,1,Y,0,Travel_Rarely,4,40,4,0,,,11,1,11,10,0,No
42,Male,medium,Research & Development,4,Y,0,Travel_Rarely,29,40,4,0,,,19,5,16,1,0,No
37,Female,high,Research & Development,2,Y,1,Non-Travel,1,40,4,0,,,18,4,15,5,0,No
40,Male,high,Human Resources,1,Y,1,Travel_Rarely,6,40,4,0,,,21,5,21,21,7,No
39,Female,medium,Sales,4,Y,1,Travel_Rarely,3,40,3,0,,,18,4,12,1,0,Yes
59,Female,high,Human Resources,9,Y,0,Non-Travel,2,40,4,0,,,21,5,30,3,2,No
34,Male,low,Research & Development,3,Y,0,Non-Travel,3,40,4,0,,,17,4,6,0,0,No
40,Male,low,Research & Development,1,Y,0,Travel_Rarely,24,40,4,0,,,17,4,9,9,4,No
18,Female,low,Research & Development,1,Y,0,Non-Travel,14,40,3,0,,,16,3,0,0,0,No
47,Female,high,Human Resources,3,Y,0,Travel_Rarely,26,40,3,0,,,11,1,27,5,1,No
44,Female,low,Human Resources,4,Y,0,Travel_Rarely,1,40,4,0,,,18,4,8,2,2,No
59,Male,low,Research & Development,3,Y,0,Travel_Rarely,3,40,4,0,,,17,4,7,1,0,No
27,Male,medium,Sales,1,Y,0,Travel_Rarely,9,40,4,1,Y,2,14,2,7,7,0,No
30,Female,medium,Research & Development,0,Y,1,Travel_Rarely,6,40,4,0,,,12,2,10,9,6,No
46,Male,high,Research & Development,5,Y,1,Travel_Rarely,15,40,2,0,,,11,1,25,4,0,No
32,Female,medium,Research & Development,5,Y,0,Travel_Rarely,8,40,3,0,,,12,2,9,5,1,No
27,Female,medium,Research & Development,8,Y,1,Travel_Rarely,7,40,1,1,Y,2,19,5,9,7,0,No
25,Male,medium,Research & Development,5,Y,1,Travel_Rarely,3,40,1,0,,,13,2,6,2,0,Yes
32,Male,medium,Sales,1,Y,0,Travel_Rarely,8,40,4,0,,,15,3,10,10,0,No
42,Male,medium,Sales,7,Y,0,Travel_Rarely,4,40,1,0,,,13,2,9,6,1,No
37,Female,low,Sales,5,Y,0,Travel_Frequently,21,40,4,0,,,15,3,10,5,0,No
22,Female,low,Research & Development,1,Y,1,Travel_Rarely,11,40,2,0,,,13,2,2,2,1,No
37,Male,low,Sales,4,Y,1,Travel_Frequently,4,40,4,0,,,17,4,13,9,5,No
24,Male,medium,Research & Development,1,Y,0,Travel_Rarely,1,40,3,0,,,12,2,4,4,1,No
52,Female,high,Sales,1,Y,0,Travel_Rarely,2,40,4,0,,,15,3,33,32,6,Yes
33,Male,low,Research & Development,3,Y,1,Travel_Rarely,1,40,1,0,,,11,1,6,3,0,No
38,Male,low,Research & Development,3,Y,1,Travel_Frequently,3,40,3,0,,,16,3,8,2,2,No
54,Female,low,Research & Development,3,Y,0,Travel_Rarely,9,40,3,0,,,11,1,9,4,2,No
39,Male,medium,Research & Development,2,Y,1,Travel_Rarely,10,40,1,0,,,13,2,10,7,7,No
29,Male,medium,Research & Development,8,Y,0,Travel_Rarely,29,40,3,1,N,2,17,4,11,7,1,No
42,Female,medium,Research & Development,0,Y,0,Travel_Frequently,28,40,4,1,Y,0,11,1,7,6,0,No
43,Male,high,Sales,1,Y,0,Travel_Frequently,26,40,4,0,,,12,2,25,25,4,No
30,Male,high,Research & Development,1,Y,0,Non-Travel,1,40,3,1,Y,2,22,5,12,11,5,No
41,Male,low,Research & Development,2,Y,1,Travel_Rarely,5,40,3,0,,,12,2,7,4,0,No
29,Male,low,Research & Development,1,Y,0,Travel_Rarely,15,40,4,0,,,19,4,6,6,1,No
42,Male,medium,Sales,1,Y,1,Travel_Rarely,1,40,3,0,,,25,5,20,20,11,No
36,Male,medium,Sales,1,Y,1,Non-Travel,15,40,4,1,Y,1,24,5,15,15,11,No
48,Male,high,Research & Development,2,Y,0,Non-Travel,1,40,4,0,,,22,5,27,5,2,No
26,Male,low,Research & Development,0,Y,0,Travel_Rarely,1,40,1,0,,,13,2,8,7,7,No
54,Female,medium,Research & Development,9,Y,0,Travel_Rarely,19,40,1,0,,,11,1,9,5,1,No
38,Male,low,Sales,4,Y,0,Travel_Rarely,1,40,1,0,,,14,3,20,1,0,No
21,Female,low,Sales,1,Y,1,Travel_Frequently,1,40,2,0,,,11,1,3,3,1,Yes
52,Male,medium,Research & Development,2,Y,0,Travel_Rarely,3,40,3,0,,,14,3,28,5,0,No
24,Male,low,Research & Development,2,Y,1,Travel_Rarely,1,40,4,0,,,16,4,6,2,2,Yes
33,Female,medium,Sales,0,Y,0,Travel_Rarely,9,40,1,0,,,17,4,6,5,0,Yes
37,Male,medium,Sales,1,Y,0,Travel_Rarely,9,40,2,0,,,14,3,5,5,0,No
41,Female,medium,Sales,5,Y,1,Travel_Rarely,8,40,2,1,Y,0,21,5,14,5,1,No
37,Female,low,Research & Development,6,Y,1,Travel_Rarely,10,40,1,0,,,20,5,17,5,0,No
34,Female,medium,Sales,5,Y,1,Travel_Rarely,8,40,1,0,,,17,4,6,3,1,No
33,Female,medium,Sales,1,Y,1,Travel_Frequently,25,40,3,0,,,12,2,10,10,0,No
29,Female,medium,Research & Development,1,Y,0,Travel_Rarely,1,40,4,1,Y,1,15,3,3,3,1,No
32,Male,low,Research & Development,1,Y,0,Travel_Rarely,25,40,4,0,,,24,5,1,1,0,Yes
39,Male,medium,Sales,0,Y,0,Travel_Rarely,2,40,3,0,,,18,4,9,8,0,No
38,Male,medium,Research & Development,9,Y,1,Travel_Rarely,23,40,4,1,N,,14,2,10,2,1,No
43,Female,high,Research & Development,8,Y,1,Travel_Rarely,7,40,1,0,,,16,4,10,1,0,No
49,Male,high,Research & Development,1,Y,0,Travel_Rarely,18,40,3,1,Y,1,17,4,31,31,0,No
40,Male,high,Sales,5,Y,0,Travel_Frequently,5,40,1,0,,,21,5,20,18,1,No
29,Female,low,Research & Development,3,Y,0,Travel_Rarely,7,40,3,1,N,4,13,2,10,7,7,Yes
51,Female,medium,Research & Development,3,Y,0,Travel_Frequently,1,40,1,0,,,20,5,23,13,12,No
44,Male,low,Research & Development,2,Y,1,Non-Travel,17,40,3,1,N,,13,2,6,0,0,No
25,Male,low,Sales,1,Y,0,Travel_Rarely,19,40,2,0,,,18,4,1,1,0,Yes
36,Male,low,Sales,7,Y,1,Travel_Rarely,9,40,1,0,,,23,5,10,5,0,Yes
33,Male,medium,Sales,0,Y,0,Travel_Frequently,7,40,1,0,,,14,3,5,4,0,No
25,Male,medium,Sales,1,Y,1,Travel_Rarely,3,40,1,0,,,18,4,5,5,0,No
34,Female,medium,Sales,1,Y,1,Travel_Rarely,9,40,3,0,,,20,5,6,6,1,No
34,Female,medium,Research & Development,3,Y,1,Travel_Rarely,8,40,3,0,,,11,1,10,5,4,No
28,Male,low,Research & Development,7,Y,0,Travel_Frequently,2,40,1,0,,,11,1,8,0,0,Yes
27,Male,low,Research & Development,0,Y,1,Travel_Rarely,11,40,1,0,,,14,3,6,5,1,No
49,Male,high,Research & Development,3,Y,0,Travel_Frequently,2,40,4,1,N,0,15,3,28,5,4,No
26,Female,low,Human Resources,0,Y,1,Travel_Rarely,20,40,2,1,N,3,11,1,6,5,1,Yes
30,Female,high,Sales,2,Y,0,Travel_Rarely,5,40,4,0,,,12,2,12,10,7,No
41,Female,medium,Sales,0,Y,1,Travel_Frequently,1,40,1,0,,,17,4,10,9,1,No
32,Female,medium,Research & Development,1,Y,0,Travel_Rarely,3,40,1,1,Y,1,12,1,8,8,6,No
34,Male,medium,Research & Development,1,Y,1,Travel_Frequently,10,40,3,0,,,14,3,8,8,7,No
34,Male,medium,Research & Development,4,Y,0,Travel_Frequently,9,40,1,0,,,17,4,11,7,0,Yes
49,Female,medium,Sales,1,Y,0,Travel_Rarely,11,40,4,0,,,18,4,9,9,7,Yes
41,Male,low,Research & Development,3,Y,0,Travel_Rarely,1,40,4,0,,,22,5,12,5,1,No
31,Male,low,Human Resources,0,Y,0,Travel_Rarely,18,40,1,0,,,17,4,2,1,0,Yes
49,Male,high,Sales,6,Y,0,Travel_Rarely,8,40,2,0,,,17,4,22,9,2,No
42,Male,medium,Human Resources,7,Y,1,Non-Travel,2,40,1,0,,,16,3,10,4,0,No
48,Male,medium,Research & Development,9,Y,1,Travel_Rarely,1,40,3,0,,,13,2,23,1,0,Yes
29,Female,low,Research & Development,1,Y,1,Travel_Rarely,4,40,1,1,Y,0,13,2,1,1,0,No
38,Male,high,Research & Development,0,Y,0,Travel_Rarely,15,40,4,0,,,14,3,12,11,2,No
60,Male,medium,Sales,8,Y,0,Travel_Rarely,16,40,1,1,Y,0,14,3,10,2,2,No
40,Male,low,Research & Development,3,Y,1,Travel_Rarely,1,40,2,1,N,3,22,5,7,4,0,No
34,Female,low,Sales,1,Y,0,Travel_Rarely,10,40,3,0,,,19,4,1,1,0,No
33,Female,medium,Research & Development,0,Y,1,Travel_Rarely,15,40,4,0,,,13,2,10,9,8,No
57,Male,medium,Research & Development,0,Y,1,Travel_Rarely,1,40,3,0,,,24,5,13,12,2,No
33,Female,medium,Research & Development,1,Y,0,Travel_Frequently,29,40,3,0,,,22,5,14,13,3,Yes
22,Female,low,Research & Development,1,Y,1,Travel_Rarely,15,40,4,0,,,15,3,1,0,0,No
31,Female,low,Human Resources,9,Y,0,Travel_Rarely,8,40,2,0,,,18,4,8,3,0,No
